Timestamp,Latitude,Longitude,RedPixels,OrangePixels,GreenPixels
2025-06-11 12-04-23,13.02,80.01,299,1750,14077
2025-06-11 12-04-23,13.02,80.02,299,1703,10443
2025-06-11 12-04-23,13.02,80.03,299,1568,7275
2025-06-11 12-04-23,13.02,80.04,299,1600,4550
2025-06-11 12-04-23,13.02,80.05,299,943,3030
2025-06-11 12-04-23,13.02,80.06,299,816,5581
2025-06-11 12-04-23,13.02,80.07,299,775,8738
2025-06-11 12-04-23,13.02,80.08,299,1456,11497
2025-06-11 12-04-23,13.02,80.09,299,1364,12077
2025-06-11 12-04-23,13.02,80.1,303,1737,12655
2025-06-11 12-04-23,13.02,80.11,310,1786,15516
2025-06-11 12-04-23,13.02,80.12,354,1635,19459
2025-06-11 12-04-23,13.02,80.13,430,1756,18962
2025-06-11 12-04-23,13.02,80.14,716,1878,19981
2025-06-11 12-04-23,13.02,80.15,1040,2059,17838
2025-06-11 12-04-23,13.02,80.16,1093,2495,15208
2025-06-11 12-04-23,13.02,80.17,1056,2657,12931
2025-06-11 12-04-23,13.02,80.18,1930,2761,12602
2025-06-11 12-04-23,13.02,80.19,1639,2500,14490
2025-06-11 12-04-23,13.02,80.2,2333,2975,17377
2025-06-11 12-04-23,13.02,80.21,2947,2888,15333
2025-06-11 12-04-23,13.02,80.22,4716,2622,14869
2025-06-11 12-04-23,13.02,80.23,4950,2082,15600
2025-06-11 12-04-23,13.02,80.24,4749,1561,12821
2025-06-11 12-04-23,13.02,80.25,4095,2013,9590
2025-06-11 12-04-23,13.02,80.26,3657,1783,6562
2025-06-11 12-04-23,13.02,80.27,2960,1734,5832
2025-06-11 12-04-23,13.02,80.28,1628,1451,3247
2025-06-11 12-04-23,13.02,80.29,983,838,2215
2025-06-11 12-04-23,13.02,80.3,599,1237,623
2025-06-11 12-04-23,13.02,80.31,465,914,1189
2025-06-11 12-04-23,13.02,80.32,299,1119,211
2025-06-11 12-04-23,13.02,80.33,682,703,211
2025-06-11 12-04-23,13.02,80.34,299,703,211
2025-06-11 12-04-23,13.02,80.35,299,703,211
2025-06-11 12-04-23,13.02,80.36,299,703,211
2025-06-11 12-04-23,13.02,80.37,299,703,211
2025-06-11 12-04-23,13.02,80.38,299,703,211
2025-06-11 12-04-23,13.02,80.39,299,703,211
2025-06-11 12-04-23,13.03,79.95,299,1121,8751
2025-06-11 12-04-23,13.03,79.96,299,745,7006
2025-06-11 12-04-23,13.03,79.97,299,713,7615
2025-06-11 12-04-23,13.03,79.98,299,765,8415
2025-06-11 12-04-23,13.03,79.99,299,1087,9387
2025-06-11 12-04-23,13.03,80.0,299,1383,9685
2025-06-11 12-04-23,13.03,80.01,299,1595,8922
2025-06-11 12-04-23,13.03,80.02,299,1876,9566
2025-06-11 12-04-23,13.03,80.03,299,2050,9049
2025-06-11 12-04-23,13.03,80.04,306,2212,7929
2025-06-11 12-04-23,13.03,80.05,367,1568,7731
2025-06-11 12-04-23,13.03,80.06,384,1624,10558
2025-06-11 12-04-23,13.03,80.07,339,1304,10509
2025-06-11 12-04-23,13.03,80.08,321,1604,12054
2025-06-11 12-04-23,13.03,80.09,368,1665,9567
2025-06-11 12-04-23,13.03,80.1,513,2023,11356
2025-06-11 12-04-23,13.03,80.11,435,2404,14362
2025-06-11 12-04-23,13.03,80.12,456,1745,16952
2025-06-11 12-04-23,13.03,80.13,627,1748,14129
2025-06-11 12-04-23,13.03,80.14,779,1820,15723
2025-06-11 12-04-23,13.03,80.15,959,2669,16626
2025-06-11 12-04-23,13.03,80.16,945,2823,13735
2025-06-11 12-04-23,13.03,80.17,1164,2366,11839
2025-06-11 12-04-23,13.03,80.18,1982,4269,12581
2025-06-11 12-04-23,13.03,80.19,2028,3831,10336
2025-06-11 12-04-23,13.03,80.2,3065,3729,9602
2025-06-11 12-04-23,13.03,80.21,3893,2515,8782
2025-06-11 12-04-23,13.03,80.22,4731,2098,5787
2025-06-11 12-04-23,13.03,80.23,4805,2074,5848
2025-06-11 12-04-23,13.03,80.24,4649,2225,7339
2025-06-11 12-04-23,13.03,80.25,4125,1923,8446
2025-06-11 12-04-23,13.03,80.26,3828,1635,7651
2025-06-11 12-04-23,13.03,80.27,2911,1704,5975
2025-06-11 12-04-23,13.03,80.28,2068,1691,4370
2025-06-11 12-04-23,13.03,80.29,1057,1692,2528
2025-06-11 12-04-23,13.03,80.3,956,932,2469
2025-06-11 12-04-23,13.03,80.31,655,844,1513
2025-06-11 12-04-23,13.03,80.32,299,1119,211
2025-06-11 12-04-23,13.03,80.33,682,703,211
2025-06-11 12-04-23,13.03,80.34,299,703,211
2025-06-11 12-04-23,13.03,80.35,299,703,211
2025-06-11 12-04-23,13.03,80.36,299,703,211
2025-06-11 12-04-23,13.03,80.37,299,703,211
2025-06-11 12-04-23,13.03,80.38,299,703,211
2025-06-11 12-04-23,13.03,80.39,299,703,211
2025-06-11 12-04-23,13.04,79.95,299,703,4333
2025-06-11 12-04-23,13.04,79.96,299,703,2983
2025-06-11 12-04-23,13.04,79.97,299,703,2333
2025-06-11 12-04-23,13.04,79.98,299,703,2950
2025-06-11 12-04-23,13.04,79.99,299,764,3772
2025-06-11 12-04-23,13.04,80.0,299,789,3856
2025-06-11 12-04-23,13.04,80.01,299,1122,4900
2025-06-11 12-04-23,13.04,80.02,299,1397,5621
2025-06-11 12-04-23,13.04,80.03,299,1642,7310
2025-06-11 12-04-23,13.04,80.04,345,2062,10451
2025-06-11 12-04-23,13.04,80.05,447,2032,11701
2025-06-11 12-04-23,13.04,80.06,500,2089,15085
2025-06-11 12-04-23,13.04,80.07,455,2140,13653
2025-06-11 12-04-23,13.04,80.08,644,2265,14678
2025-06-11 12-04-23,13.04,80.09,757,2424,14810
2025-06-11 12-04-23,13.04,80.1,647,2374,14686
2025-06-11 12-04-23,13.04,80.11,652,2265,15806
2025-06-11 12-04-23,13.04,80.12,590,2969,15066
2025-06-11 12-04-23,13.04,80.13,719,2929,12764
2025-06-11 12-04-23,13.04,80.14,701,2738,12572
2025-06-11 12-04-23,13.04,80.15,626,2177,12982
2025-06-11 12-04-23,13.04,80.16,762,2450,12989
2025-06-11 12-04-23,13.04,80.17,686,3409,12157
2025-06-11 12-04-23,13.04,80.18,1219,3211,12289
2025-06-11 12-04-23,13.04,80.19,1587,3080,8929
2025-06-11 12-04-23,13.04,80.2,2863,2283,6351
2025-06-11 12-04-23,13.04,80.21,3562,2066,6937
2025-06-11 12-04-23,13.04,80.22,4660,2191,7967
2025-06-11 12-04-23,13.04,80.23,4756,2542,9407
2025-06-11 12-04-23,13.04,80.24,5003,2916,9063
2025-06-11 12-04-23,13.04,80.25,5355,2727,10111
2025-06-11 12-04-23,13.04,80.26,4877,1776,8486
2025-06-11 12-04-23,13.04,80.27,4012,1468,6079
2025-06-11 12-04-23,13.04,80.28,1975,1365,4581
2025-06-11 12-04-23,13.04,80.29,1213,2123,2634
2025-06-11 12-04-23,13.04,80.3,1303,1470,1846
2025-06-11 12-04-23,13.04,80.31,595,1373,1585
2025-06-11 12-04-23,13.04,80.32,299,1119,211
2025-06-11 12-04-23,13.04,80.33,682,703,211
2025-06-11 12-04-23,13.04,80.34,299,703,211
2025-06-11 12-04-23,13.04,80.35,299,703,211
2025-06-11 12-04-23,13.04,80.36,299,703,211
2025-06-11 12-04-23,13.04,80.37,299,703,211
2025-06-11 12-04-23,13.04,80.38,299,703,211
2025-06-11 12-04-23,13.04,80.39,299,703,211
2025-06-11 12-04-23,13.05,79.95,299,703,4505
2025-06-11 12-04-23,13.05,79.96,299,703,3544
2025-06-11 12-04-23,13.05,79.97,299,703,2739
2025-06-11 12-04-23,13.05,79.98,299,707,2244
2025-06-11 12-04-23,13.05,79.99,299,707,1740
2025-06-11 12-04-23,13.05,80.0,299,703,1690
2025-06-11 12-04-23,13.05,80.01,299,850,3143
2025-06-11 12-04-23,13.05,80.02,299,1057,6223
2025-06-11 12-04-23,13.05,80.03,299,1228,7802
2025-06-11 12-04-23,13.05,80.04,371,1533,9716
2025-06-11 12-04-23,13.05,80.05,469,1806,11480
2025-06-11 12-04-23,13.05,80.06,522,2321,15272
2025-06-11 12-04-23,13.05,80.07,671,2313,17686
2025-06-11 12-04-23,13.05,80.08,672,2548,19782
2025-06-11 12-04-23,13.05,80.09,801,2786,21516
2025-06-11 12-04-23,13.05,80.1,679,2937,19476
2025-06-11 12-04-23,13.05,80.11,859,2578,19039
2025-06-11 12-04-23,13.05,80.12,907,3323,16663
2025-06-11 12-04-23,13.05,80.13,984,3463,17335
2025-06-11 12-04-23,13.05,80.14,885,2979,16130
2025-06-11 12-04-23,13.05,80.15,840,2477,13882
2025-06-11 12-04-23,13.05,80.16,667,2474,11276
2025-06-11 12-04-23,13.05,80.17,850,2286,10756
2025-06-11 12-04-23,13.05,80.18,1663,1919,11716
2025-06-11 12-04-23,13.05,80.19,1840,1683,9489
2025-06-11 12-04-23,13.05,80.2,2230,1671,8460
2025-06-11 12-04-23,13.05,80.21,3077,1777,8947
2025-06-11 12-04-23,13.05,80.22,3516,2057,9929
2025-06-11 12-04-23,13.05,80.23,3253,2488,12607
2025-06-11 12-04-23,13.05,80.24,3378,2964,10379
2025-06-11 12-04-23,13.05,80.25,3228,2911,10883
2025-06-11 12-04-23,13.05,80.26,3689,1932,9970
2025-06-11 12-04-23,13.05,80.27,2599,1748,8438
2025-06-11 12-04-23,13.05,80.28,1879,1959,7755
